Unnamed: 0,ac_code_icao,e_type,wake,reduced_fuel_a1,reduced_fuel_a2,reduced_fuel_intercept,reduced_fuel_score,reduced_sample_size
0,A140,Turboprop,M,0.0001570270040569,1.2982777526024196,160.62447178027185,0.9999458252023194,25
1,A148,Jet,M,6.398806910579147e-05,1.757267905324482,971.0358232404124,0.9997945446908748,25
2,A158,Jet,M,3.3362854604312986e-05,2.566018863868268,799.9393976678402,0.9993527034307026,24
3,A20N,Jet,M,5.668855923612881e-05,2.3822203227903334,955.9771828145858,0.9998235411909692,25
4,A21N,Jet,M,6.322240065870233e-05,2.7236585444593007,1121.9381760390395,0.9999394373497356,25
5,A306,Jet,H,0.000208303528197,5.292754728665013,2408.3891219198267,0.9999668397890468,25
6,A30B,Jet,H,0.0001982893815144,6.474756928487186,2222.798735754448,0.9999710022401064,25
7,A310,Jet,H,0.0001632949648442,4.359746729125529,2228.0275509617168,0.9999132185389964,25
8,A318,Jet,M,6.89511440921109e-05,2.350075246472605,1118.9090916083037,0.9996710414861878,25
9,A319,Jet,M,7.861925591479135e-05,2.308258235579065,1194.0996838404626,0.999762597383823,25
10,A320,Jet,M,0.000130042337441,2.426095119712344,1310.7950948662055,0.9998581955423148,25
11,A321,Jet,M,-5.7378784219075385e-05,4.083572128715679,1084.1337567410246,0.9997802506382834,25
12,A332,Jet,H,0.0001747859503353,4.9031762660658,3603.0351976719103,0.9998144631191024,25
13,A333,Jet,H,2.6407166359376788e-05,6.517233690161649,2090.642673369657,0.998943751881415,25
14,A339,Jet,H,0.0001769854542406,4.634359445213642,4057.6671819265466,0.9994299393336308,25
15,A342,Jet,H,0.0002358094393848,5.160351823288175,4479.616294853418,0.9995864156148644,25
16,A343,Jet,H,0.0002672084309844,5.40202955241821,3954.7379543269417,0.9996878172377796,25
17,A345,Jet,H,0.0002101950285755,6.852207692367797,4919.303525652402,0.9998700675510264,25
18,A346,Jet,H,0.0002565271632093,6.86051702890215,5501.48232695819,0.999895407764356,25
19,A359,Jet,H,8.61825848810227e-05,6.152636361762516,1753.6413158785144,0.9982947548498128,25
20,A35K,Jet,H,0.0001846395304374,5.378231075979626,4413.229547197276,0.9998116940364616,25
21,A388,Jet,J,0.0002976350034167,11.402874182880453,6408.219743091526,0.9994365322619516,25
23,AN24,Turboprop,M,6.1540118558856e-05,1.5981588090902188,212.2134235255014,0.9998276112925252,25
24,AN38,Turboprop,M,3.03583389380524e-05,1.50932767352588,60.10635243403112,0.9999885407413988,25
25,AT43,Turboprop,M,0.000203974136543,0.7995587234644723,198.85276266580055,0.9972960458171348,25
26,AT72,Turboprop,M,0.0002572904328121,1.1306414713636488,203.17938444650304,0.9991569504563071,24
